county,precinct,office,district,candidate,party,election_day,absentee,mail,votes
Wayne,Fremont,STRAIGHT PARTY,,CONSTITUTION,CON,1,0,0,1
Wayne,Fremont,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,0
Wayne,Fremont,STRAIGHT PARTY,,DEMOCRATIC,DEM,3,1,0,4
Wayne,Fremont,STRAIGHT PARTY,,REPUBLICAN,REP,20,4,6,30
Wayne,Fremont,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0
Wayne,Fremont,STRAIGHT PARTY,,GREEN,GRN,0,0,0,0
Wayne,Fremont,President,,Registered Voters,,0
Wayne,Fremont,President,,Registered Voters,,0
Wayne,Fremont,President,,Registered Voters,,0
Wayne,Fremont,President,,Registered Voters,,150
Wayne,Fremont,President,,Jill Stein,GRN,0,0,0,0
Wayne,Fremont,President,,Gloria La Riva,,0,0,0,0
Wayne,Fremont,President,,Mitt Romney,REP,71,15,14,100
Wayne,Fremont,President,,Barack Obama,DEM,8,2,0,10
Wayne,Fremont,President,,Gary Johnson,LIB,2,0,0,2
Wayne,Fremont,President,,Virgil Goode,CON,0,0,0,0
Wayne,Fremont,President,,Ross C. Anderson,JUS,0,0,0,0
Wayne,Fremont,President,,Write-in 90,,0,0,0,0
Wayne,Fremont,U.S. Senate,,Shaun McCausland,CON,1,0,1,2
Wayne,Fremont,U.S. Senate,,Scott Howell,DEM,11,1,0,12
Wayne,Fremont,U.S. Senate,,Orrin G. Hatch,REP,67,15,13,95
Wayne,Fremont,U.S. Senate,,Daniel Geery,JUS,1,0,0,1
Wayne,Fremont,U.S. Senate,,Bill Barron,,0,1,0,1
Wayne,Fremont,U.S. Senate,,Write-in 60,,0,0,0,0
Wayne,Fremont,U.S. House,2,Chris Stewart,REP,65,14,14,93
Wayne,Fremont,U.S. House,2,Jay Seegmiller,DEM,11,1,0,12
Wayne,Fremont,U.S. House,2,Charles E Kimball,,1,0,0,1
Wayne,Fremont,U.S. House,2,Jonathan D. Garrard,CON,2,0,0,2
Wayne,Fremont,U.S. House,2,Joseph Andrade,,1,1,0,2
Wayne,Fremont,U.S. House,2,Write-in 60,,0,0,0,0
Wayne,Fremont,Governor,,Peter S Cooke,DEM,9,2,0,11
Wayne,Fremont,Governor,,Ken Larsen,LIB,3,0,0,3
Wayne,Fremont,Governor,,Kirk D Pearson,CON,1,0,0,1
Wayne,Fremont,Governor,,Gary R. Herbert,REP,67,15,14,96
Wayne,Fremont,Governor,,Write-in 50,,0,0,0,0
Wayne,Fremont,Attorney General,,Dee W. Smith,DEM,11,4,0,15
Wayne,Fremont,Attorney General,,John Swallow,REP,63,12,14,89
Wayne,Fremont,Attorney General,,W. Andrew McCullough,LIB,4,0,0,4
Wayne,Fremont,Attorney General,,Write-in 40,,0,0,0,0
Wayne,Fremont,State Auditor,,Mark Sage,DEM,9,3,0,12
Wayne,Fremont,State Auditor,,John Dougall,REP,65,13,14,92
Wayne,Fremont,State Auditor,,Richard Proctor,CON,3,0,0,3
Wayne,Fremont,State Auditor,,Write-in 40,,0,0,0,0
Wayne,Fremont,State Treasurer,,Christopher Stout,DEM,9,2,0,11
Wayne,Fremont,State Treasurer,,Vincent C. Marcus,LIB,3,0,0,3
Wayne,Fremont,State Treasurer,,Richard K. Ellis,REP,63,14,14,91
Wayne,Fremont,State Treasurer,,Write-in 40,,0,0,0,0
Wayne,Fremont,State Senate,24,Ralph Okerlund,REP,71,16,14,101
Wayne,Fremont,State Senate,24,Trestin Meacham,CON,5,1,0,6
Wayne,Fremont,State Senate,24,Write-in 30,,0,0,0,0
Wayne,Fremont,State House,73,Michael Noel,REP,59,13,14,86
Wayne,Fremont,State House,73,Ty Markham,JUS,20,3,0,23
Wayne,Fremont,State House,73,Write-in 30,,0,0,0,0
Wayne,Fremont,COUNTY COMMISSION,,Newell E. Harward,REP,34,7,12,53
Wayne,Fremont,COUNTY COMMISSION,,Joe Brown,DEM,40,10,2,52
Wayne,Fremont,COUNTY COMMISSION,,Write-in 30,,4,0,0,4
Wayne,Fremont,SCHOOL BOARD D1,,David Chappell,,35,11,10,56
Wayne,Fremont,SCHOOL BOARD D1,,Write-in 20,,42,5,2,49
Wayne,Fremont,DISTRICT COURT -Bagley,,YES,,59,15,10,84
Wayne,Fremont,DISTRICT COURT -Bagley,,NO,,20,2,2,24
Wayne,Fremont,CONST AMEND A,,For,,35,4,7,46
Wayne,Fremont,CONST AMEND A,,Against,,43,10,6,59
Wayne,Fremont,CONST AMEND B,,For,,47,10,10,67
Wayne,Fremont,CONST AMEND B,,Against,,32,5,4,41
Wayne,Loa,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,0,0
Wayne,Loa,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,0
Wayne,Loa,STRAIGHT PARTY,,DEMOCRATIC,DEM,2,0,0,2
Wayne,Loa,STRAIGHT PARTY,,REPUBLICAN,REP,58,19,17,94
Wayne,Loa,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0
Wayne,Loa,STRAIGHT PARTY,,GREEN,GRN,0,0,0,0
Wayne,Loa,President,,Registered Voters,,0
Wayne,Loa,President,,Registered Voters,,0
Wayne,Loa,President,,Registered Voters,,0
Wayne,Loa,President,,Registered Voters,,426
Wayne,Loa,President,,Jill Stein,GRN,0,0,0,0
Wayne,Loa,President,,Gloria La Riva,,0,0,0,0
Wayne,Loa,President,,Mitt Romney,REP,193,57,51,301
Wayne,Loa,President,,Barack Obama,DEM,7,3,2,12
Wayne,Loa,President,,Gary Johnson,LIB,0,0,0,0
Wayne,Loa,President,,Virgil Goode,CON,1,0,0,1
Wayne,Loa,President,,Ross C. Anderson,JUS,0,0,0,0
Wayne,Loa,President,,Write-in 90,,1,0,0,1
Wayne,Loa,U.S. Senate,,Shaun McCausland,CON,2,0,1,3
Wayne,Loa,U.S. Senate,,Scott Howell,DEM,18,4,2,24
Wayne,Loa,U.S. Senate,,Orrin G. Hatch,REP,179,55,47,281
Wayne,Loa,U.S. Senate,,Daniel Geery,JUS,1,0,0,1
Wayne,Loa,U.S. Senate,,Bill Barron,,0,0,0,0
Wayne,Loa,U.S. Senate,,Write-in 60,,0,0,0,0
Wayne,Loa,U.S. House,2,Chris Stewart,REP,183,56,47,286
Wayne,Loa,U.S. House,2,Jay Seegmiller,DEM,10,4,1,15
Wayne,Loa,U.S. House,2,Charles E Kimball,,2,0,0,2
Wayne,Loa,U.S. House,2,Jonathan D. Garrard,CON,0,0,0,0
Wayne,Loa,U.S. House,2,Joseph Andrade,,0,0,0,0
Wayne,Loa,U.S. House,2,Write-in 60,,0,0,0,0
Wayne,Loa,Governor,,Peter S Cooke,DEM,8,4,1,13
Wayne,Loa,Governor,,Ken Larsen,LIB,0,0,0,0
Wayne,Loa,Governor,,Kirk D Pearson,CON,3,0,1,4
Wayne,Loa,Governor,,Gary R. Herbert,REP,188,55,48,291
Wayne,Loa,Governor,,Write-in 50,,0,0,0,0
Wayne,Loa,Attorney General,,Dee W. Smith,DEM,10,4,5,19
Wayne,Loa,Attorney General,,John Swallow,REP,179,53,44,276
Wayne,Loa,Attorney General,,W. Andrew McCullough,LIB,5,0,0,5
Wayne,Loa,Attorney General,,Write-in 40,,1,0,0,1
Wayne,Loa,State Auditor,,Mark Sage,DEM,13,3,2,18
Wayne,Loa,State Auditor,,John Dougall,REP,173,52,47,272
Wayne,Loa,State Auditor,,Richard Proctor,CON,7,0,0,7
Wayne,Loa,State Auditor,,Write-in 40,,0,0,0,0
Wayne,Loa,State Treasurer,,Christopher Stout,DEM,13,4,3,20
Wayne,Loa,State Treasurer,,Vincent C. Marcus,LIB,6,1,2,9
Wayne,Loa,State Treasurer,,Richard K. Ellis,REP,173,51,43,267
Wayne,Loa,State Treasurer,,Write-in 40,,0,0,0,0
Wayne,Loa,State Senate,24,Ralph Okerlund,REP,187,57,46,290
Wayne,Loa,State Senate,24,Trestin Meacham,CON,9,1,3,13
Wayne,Loa,State Senate,24,Write-in 30,,1,0,0,1
Wayne,Loa,State House,73,Michael Noel,REP,162,45,44,251
Wayne,Loa,State House,73,Ty Markham,JUS,33,15,6,54
Wayne,Loa,State House,73,Write-in 30,,0,0,0,0
Wayne,Loa,COUNTY COMMISSION,,Newell E. Harward,REP,150,39,36,225
Wayne,Loa,COUNTY COMMISSION,,Joe Brown,DEM,49,22,16,87
Wayne,Loa,COUNTY COMMISSION,,Write-in 30,,2,0,0,2
Wayne,Loa,DISTRICT COURT -Bagley,,YES,,162,44,39,245
Wayne,Loa,DISTRICT COURT -Bagley,,NO,,23,11,5,39
Wayne,Loa,CONST AMEND A,,For,,91,25,17,133
Wayne,Loa,CONST AMEND A,,Against,,99,32,25,156
Wayne,Loa,CONST AMEND B,,For,,125,36,27,188
Wayne,Loa,CONST AMEND B,,Against,,67,21,14,102
Wayne,Lyman,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,0,0
Wayne,Lyman,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,0
Wayne,Lyman,STRAIGHT PARTY,,DEMOCRATIC,DEM,0,0,0,0
Wayne,Lyman,STRAIGHT PARTY,,REPUBLICAN,REP,34,6,3,43
Wayne,Lyman,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0
Wayne,Lyman,STRAIGHT PARTY,,GREEN,GRN,0,0,0,0
Wayne,Lyman,President,,Registered Voters,,0
Wayne,Lyman,President,,Registered Voters,,0
Wayne,Lyman,President,,Registered Voters,,0
Wayne,Lyman,President,,Registered Voters,,190
Wayne,Lyman,President,,Jill Stein,GRN,0,0,0,0
Wayne,Lyman,President,,Gloria La Riva,,0,0,0,0
Wayne,Lyman,President,,Mitt Romney,REP,112,20,11,143
Wayne,Lyman,President,,Barack Obama,DEM,4,2,0,6
Wayne,Lyman,President,,Gary Johnson,LIB,0,0,0,0
Wayne,Lyman,President,,Virgil Goode,CON,0,1,0,1
Wayne,Lyman,President,,Ross C. Anderson,JUS,0,0,0,0
Wayne,Lyman,President,,Write-in 90,,0,0,0,0
Wayne,Lyman,U.S. Senate,,Shaun McCausland,CON,2,1,0,3
Wayne,Lyman,U.S. Senate,,Scott Howell,DEM,13,3,0,16
Wayne,Lyman,U.S. Senate,,Orrin G. Hatch,REP,98,18,10,126
Wayne,Lyman,U.S. Senate,,Daniel Geery,JUS,1,0,0,1
Wayne,Lyman,U.S. Senate,,Bill Barron,,0,0,1,1
Wayne,Lyman,U.S. Senate,,Write-in 60,,0,0,0,0
Wayne,Lyman,U.S. House,2,Chris Stewart,REP,102,19,11,132
Wayne,Lyman,U.S. House,2,Jay Seegmiller,DEM,8,0,0,8
Wayne,Lyman,U.S. House,2,Charles E Kimball,,2,0,0,2
Wayne,Lyman,U.S. House,2,Jonathan D. Garrard,CON,0,1,0,1
Wayne,Lyman,U.S. House,2,Joseph Andrade,,0,0,0,0
Wayne,Lyman,U.S. House,2,Write-in 60,,0,0,0,0
Wayne,Lyman,Governor,,Peter S Cooke,DEM,7,0,0,7
Wayne,Lyman,Governor,,Ken Larsen,LIB,0,1,0,1
Wayne,Lyman,Governor,,Kirk D Pearson,CON,2,1,2,5
Wayne,Lyman,Governor,,Gary R. Herbert,REP,107,19,10,136
Wayne,Lyman,Governor,,Write-in 50,,0,0,0,0
Wayne,Lyman,Attorney General,,Dee W. Smith,DEM,9,1,2,12
Wayne,Lyman,Attorney General,,John Swallow,REP,97,19,8,124
Wayne,Lyman,Attorney General,,W. Andrew McCullough,LIB,4,0,1,5
Wayne,Lyman,Attorney General,,Write-in 40,,0,0,0,0
Wayne,Lyman,State Auditor,,Mark Sage,DEM,12,1,2,15
Wayne,Lyman,State Auditor,,John Dougall,REP,94,17,9,120
Wayne,Lyman,State Auditor,,Richard Proctor,CON,0,1,0,1
Wayne,Lyman,State Auditor,,Write-in 40,,0,0,0,0
Wayne,Lyman,State Treasurer,,Christopher Stout,DEM,11,2,0,13
Wayne,Lyman,State Treasurer,,Vincent C. Marcus,LIB,1,1,1,3
Wayne,Lyman,State Treasurer,,Richard K. Ellis,REP,96,17,10,123
Wayne,Lyman,State Treasurer,,Write-in 40,,0,0,0,0
Wayne,Lyman,State Senate,24,Ralph Okerlund,REP,110,20,9,139
Wayne,Lyman,State Senate,24,Trestin Meacham,CON,5,1,2,8
Wayne,Lyman,State Senate,24,Write-in 30,,0,0,0,0
Wayne,Lyman,State House,73,Michael Noel,REP,96,19,9,124
Wayne,Lyman,State House,73,Ty Markham,JUS,17,3,2,22
Wayne,Lyman,State House,73,Write-in 30,,0,0,0,0
Wayne,Lyman,COUNTY COMMISSION,,Newell E. Harward,REP,81,18,8,107
Wayne,Lyman,COUNTY COMMISSION,,Joe Brown,DEM,36,3,3,42
Wayne,Lyman,COUNTY COMMISSION,,Write-in 30,,0,0,0,0
Wayne,Lyman,SCHOOL BOARD D1,,David Chappell,,77,12,7,96
Wayne,Lyman,SCHOOL BOARD D1,,Write-in 20,,34,8,3,45
Wayne,Lyman,DISTRICT COURT -Bagley,,YES,,90,12,9,111
Wayne,Lyman,DISTRICT COURT -Bagley,,NO,,14,7,2,23
Wayne,Lyman,CONST AMEND A,,For,,37,8,7,52
Wayne,Lyman,CONST AMEND A,,Against,,62,12,4,78
Wayne,Lyman,CONST AMEND B,,For,,54,17,7,78
Wayne,Lyman,CONST AMEND B,,Against,,50,5,3,58
Wayne,Bicknell,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,0,0
Wayne,Bicknell,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,0
Wayne,Bicknell,STRAIGHT PARTY,,DEMOCRATIC,DEM,4,1,0,5
Wayne,Bicknell,STRAIGHT PARTY,,REPUBLICAN,REP,38,13,7,58
Wayne,Bicknell,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0
Wayne,Bicknell,STRAIGHT PARTY,,GREEN,GRN,0,0,0,0
Wayne,Bicknell,President,,Registered Voters,,0
Wayne,Bicknell,President,,Registered Voters,,0
Wayne,Bicknell,President,,Registered Voters,,0
Wayne,Bicknell,President,,Registered Voters,,306
Wayne,Bicknell,President,,Jill Stein,GRN,0,0,0,0
Wayne,Bicknell,President,,Gloria La Riva,,1,0,0,1
Wayne,Bicknell,President,,Mitt Romney,REP,148,26,35,209
Wayne,Bicknell,President,,Barack Obama,DEM,13,2,2,17
Wayne,Bicknell,President,,Gary Johnson,LIB,0,0,0,0
Wayne,Bicknell,President,,Virgil Goode,CON,0,0,0,0
Wayne,Bicknell,President,,Ross C. Anderson,JUS,0,0,0,0
Wayne,Bicknell,President,,Write-in 90,,0,0,0,0
Wayne,Bicknell,U.S. Senate,,Shaun McCausland,CON,2,0,0,2
Wayne,Bicknell,U.S. Senate,,Scott Howell,DEM,22,1,2,25
Wayne,Bicknell,U.S. Senate,,Orrin G. Hatch,REP,137,27,36,200
Wayne,Bicknell,U.S. Senate,,Daniel Geery,JUS,0,0,0,0
Wayne,Bicknell,U.S. Senate,,Bill Barron,,1,0,1,2
Wayne,Bicknell,U.S. Senate,,Write-in 60,,0,0,0,0
Wayne,Bicknell,U.S. House,2,Chris Stewart,REP,132,25,32,189
Wayne,Bicknell,U.S. House,2,Jay Seegmiller,DEM,16,2,4,22
Wayne,Bicknell,U.S. House,2,Charles E Kimball,,3,0,1,4
Wayne,Bicknell,U.S. House,2,Jonathan D. Garrard,CON,1,0,0,1
Wayne,Bicknell,U.S. House,2,Joseph Andrade,,2,0,0,2
Wayne,Bicknell,U.S. House,2,Write-in 60,,0,0,0,0
Wayne,Bicknell,Governor,,Peter S Cooke,DEM,20,2,4,26
Wayne,Bicknell,Governor,,Ken Larsen,LIB,0,0,0,0
Wayne,Bicknell,Governor,,Kirk D Pearson,CON,0,0,0,0
Wayne,Bicknell,Governor,,Gary R. Herbert,REP,142,26,35,203
Wayne,Bicknell,Governor,,Write-in 50,,0,0,0,0
Wayne,Bicknell,Attorney General,,Dee W. Smith,DEM,18,3,4,25
Wayne,Bicknell,Attorney General,,John Swallow,REP,136,24,35,195
Wayne,Bicknell,Attorney General,,W. Andrew McCullough,LIB,1,0,0,1
Wayne,Bicknell,Attorney General,,Write-in 40,,0,0,0,0
Wayne,Bicknell,State Auditor,,Mark Sage,DEM,20,5,4,29
Wayne,Bicknell,State Auditor,,John Dougall,REP,129,23,30,182
Wayne,Bicknell,State Auditor,,Richard Proctor,CON,4,0,4,8
Wayne,Bicknell,State Auditor,,Write-in 40,,0,0,0,0
Wayne,Bicknell,State Treasurer,,Christopher Stout,DEM,19,3,4,26
Wayne,Bicknell,State Treasurer,,Vincent C. Marcus,LIB,2,0,0,2
Wayne,Bicknell,State Treasurer,,Richard K. Ellis,REP,130,24,34,188
Wayne,Bicknell,State Treasurer,,Write-in 40,,0,0,0,0
Wayne,Bicknell,State Senate,24,Ralph Okerlund,REP,145,26,36,207
Wayne,Bicknell,State Senate,24,Trestin Meacham,CON,14,1,1,16
Wayne,Bicknell,State Senate,24,Write-in 30,,0,0,0,0
Wayne,Bicknell,State House,73,Michael Noel,REP,129,23,29,181
Wayne,Bicknell,State House,73,Ty Markham,JUS,33,5,8,46
Wayne,Bicknell,State House,73,Write-in 30,,0,0,0,0
Wayne,Bicknell,COUNTY COMMISSION,,Newell E. Harward,REP,81,19,27,127
Wayne,Bicknell,COUNTY COMMISSION,,Joe Brown,DEM,83,9,11,103
Wayne,Bicknell,COUNTY COMMISSION,,Write-in 30,,0,0,0,0
Wayne,Bicknell,SCHOOL BOARD D3,,Joni D. Taylor,,144,23,30,197
Wayne,Bicknell,SCHOOL BOARD D3,,Write-in 20,,8,0,2,10
Wayne,Bicknell,DISTRICT COURT -Bagley,,YES,,128,21,18,167
Wayne,Bicknell,DISTRICT COURT -Bagley,,NO,,23,5,10,38
Wayne,Bicknell,CONST AMEND A,,For,,60,14,10,84
Wayne,Bicknell,CONST AMEND A,,Against,,86,11,16,113
Wayne,Bicknell,CONST AMEND B,,For,,96,15,19,130
Wayne,Bicknell,CONST AMEND B,,Against,,55,10,15,80
Wayne,Teasdale,STRAIGHT PARTY,,CONSTITUTION,CON,0,0,0,0
Wayne,Teasdale,STRAIGHT PARTY,,LIBERTARIAN,LIB,0,0,0,0
Wayne,Teasdale,STRAIGHT PARTY,,DEMOCRATIC,DEM,11,3,0,14
Wayne,Teasdale,STRAIGHT PARTY,,REPUBLICAN,REP,19,6,3,28
Wayne,Teasdale,STRAIGHT PARTY,,JUSTICE,JUS,0,0,0,0
Wayne,Teasdale,STRAIGHT PARTY,,GREEN,GRN,0,0,0,0
Wayne,Teasdale,President,,Registered Voters,,0
Wayne,Teasdale,President,,Registered Voters,,0
Wayne,Teasdale,President,,Registered Voters,,0
Wayne,Teasdale,President,,Registered Voters,,226
Wayne,Teasdale,President,,Jill Stein,GRN,1,0,1,2
Wayne,Teasdale,President,,Gloria La Riva,,0,0,0,0
