precinct,office,votes,candidate,party,district,county
Axtell SSD,State Treasurer,106,MARLO M OAKS,REP,,Sanpete
Centerfield City,State Treasurer,433,MARLO M OAKS,REP,,Sanpete
Ephraim City 1 (North),State Treasurer,549,MARLO M OAKS,REP,,Sanpete
Ephraim City 2 (South West),State Treasurer,353,MARLO M OAKS,REP,,Sanpete
Ephraim City 3 (South East),State Treasurer,317,MARLO M OAKS,REP,,Sanpete
Ephraim U,State Treasurer,211,MARLO M OAKS,REP,,Sanpete
Fayette Town,State Treasurer,91,MARLO M OAKS,REP,,Sanpete
Fairview City,State Treasurer,445,MARLO M OAKS,REP,,Sanpete
Fairview U,State Treasurer,519,MARLO M OAKS,REP,,Sanpete
Fountain Green City,State Treasurer,378,MARLO M OAKS,REP,,Sanpete
Gunnison City,State Treasurer,532,MARLO M OAKS,REP,,Sanpete
Manti City 1 (South),State Treasurer,570,MARLO M OAKS,REP,,Sanpete
Manti Cify 2 (Mid),State Treasurer,356,MARLO M OAKS,REP,,Sanpete
Manti City 3 (North),State Treasurer,259,MARLO M OAKS,REP,,Sanpete
Mayfield Town,State Treasurer,212,MARLO M OAKS,REP,,Sanpete
Moroni City,State Treasurer,414,MARLO M OAKS,REP,,Sanpete
Moroni U,State Treasurer,118,MARLO M OAKS,REP,,Sanpete
Mt Pleasant City 2 (East),State Treasurer,326,MARLO M OAKS,REP,,Sanpete
Mt Pleasant City 1 (West),State Treasurer,607,MARLO M OAKS,REP,,Sanpete
Mt Pleasant 1 U,State Treasurer,162,MARLO M OAKS,REP,,Sanpete
Mt Pleasant 2 U,State Treasurer,190,MARLO M OAKS,REP,,Sanpete
Fountain Green U,State Treasurer,25,MARLO M OAKS,REP,,Sanpete
Spring City,State Treasurer,384,MARLO M OAKS,REP,,Sanpete
Spring City U Wales U,State Treasurer,303,MARLO M OAKS,REP,,Sanpete
SSU,State Treasurer,131,MARLO M OAKS,REP,,Sanpete
Sterling Town,State Treasurer,109,MARLO M OAKS,REP,,Sanpete
Sterling U,State Treasurer,72,MARLO M OAKS,REP,,Sanpete
Wales Town,State Treasurer,116,MARLO M OAKS,REP,,Sanpete
Axtell SSD,State Treasurer,4,THOMAS ALAN HORNE,UUP,,Sanpete
Centerfield City,State Treasurer,14,THOMAS ALAN HORNE,UUP,,Sanpete
Ephraim City 1 (North),State Treasurer,51,THOMAS ALAN HORNE,UUP,,Sanpete
Ephraim City 2 (South West),State Treasurer,32,THOMAS ALAN HORNE,UUP,,Sanpete
Ephraim City 3 (South East),State Treasurer,29,THOMAS ALAN HORNE,UUP,,Sanpete
Ephraim U,State Treasurer,3,THOMAS ALAN HORNE,UUP,,Sanpete
Fayette Town,State Treasurer,1,THOMAS ALAN HORNE,UUP,,Sanpete
Fairview City,State Treasurer,18,THOMAS ALAN HORNE,UUP,,Sanpete
Fairview U,State Treasurer,40,THOMAS ALAN HORNE,UUP,,Sanpete
Fountain Green City,State Treasurer,27,THOMAS ALAN HORNE,UUP,,Sanpete
Gunnison City,State Treasurer,21,THOMAS ALAN HORNE,UUP,,Sanpete
Manti City 1 (South),State Treasurer,22,THOMAS ALAN HORNE,UUP,,Sanpete
Manti Cify 2 (Mid),State Treasurer,18,THOMAS ALAN HORNE,UUP,,Sanpete
Manti City 3 (North),State Treasurer,8,THOMAS ALAN HORNE,UUP,,Sanpete
Mayfield Town,State Treasurer,19,THOMAS ALAN HORNE,UUP,,Sanpete
Moroni City,State Treasurer,21,THOMAS ALAN HORNE,UUP,,Sanpete
Moroni U,State Treasurer,7,THOMAS ALAN HORNE,UUP,,Sanpete
Mt Pleasant City 2 (East),State Treasurer,19,THOMAS ALAN HORNE,UUP,,Sanpete
Mt Pleasant City 1 (West),State Treasurer,51,THOMAS ALAN HORNE,UUP,,Sanpete
Mt Pleasant 1 U,State Treasurer,13,THOMAS ALAN HORNE,UUP,,Sanpete
Mt Pleasant 2 U,State Treasurer,15,THOMAS ALAN HORNE,UUP,,Sanpete
Fountain Green U,State Treasurer,4,THOMAS ALAN HORNE,UUP,,Sanpete
Spring City,State Treasurer,42,THOMAS ALAN HORNE,UUP,,Sanpete
Spring City U Wales U,State Treasurer,10,THOMAS ALAN HORNE,UUP,,Sanpete
SSU,State Treasurer,6,THOMAS ALAN HORNE,UUP,,Sanpete
Sterling Town,State Treasurer,1,THOMAS ALAN HORNE,UUP,,Sanpete
Sterling U,State Treasurer,7,THOMAS ALAN HORNE,UUP,,Sanpete
Wales Town,State Treasurer,6,THOMAS ALAN HORNE,UUP,,Sanpete
Axtell SSD,State Treasurer,2,WARREN T ROGERS,IAP,,Sanpete
Centerfield City,State Treasurer,11,WARREN T ROGERS,IAP,,Sanpete
Ephraim City 1 (North),State Treasurer,20,WARREN T ROGERS,IAP,,Sanpete
Ephraim City 2 (South West),State Treasurer,9,WARREN T ROGERS,IAP,,Sanpete
Ephraim City 3 (South East),State Treasurer,6,WARREN T ROGERS,IAP,,Sanpete
Ephraim U,State Treasurer,10,WARREN T ROGERS,IAP,,Sanpete
Fayette Town,State Treasurer,3,WARREN T ROGERS,IAP,,Sanpete
Fairview City,State Treasurer,14,WARREN T ROGERS,IAP,,Sanpete
Fairview U,State Treasurer,22,WARREN T ROGERS,IAP,,Sanpete
Fountain Green City,State Treasurer,13,WARREN T ROGERS,IAP,,Sanpete
Gunnison City,State Treasurer,19,WARREN T ROGERS,IAP,,Sanpete
Manti City 1 (South),State Treasurer,25,WARREN T ROGERS,IAP,,Sanpete
Manti Cify 2 (Mid),State Treasurer,16,WARREN T ROGERS,IAP,,Sanpete
Manti City 3 (North),State Treasurer,4,WARREN T ROGERS,IAP,,Sanpete
Mayfield Town,State Treasurer,12,WARREN T ROGERS,IAP,,Sanpete
Moroni City,State Treasurer,12,WARREN T ROGERS,IAP,,Sanpete
Moroni U,State Treasurer,6,WARREN T ROGERS,IAP,,Sanpete
Mt Pleasant City 2 (East),State Treasurer,17,WARREN T ROGERS,IAP,,Sanpete
Mt Pleasant City 1 (West),State Treasurer,37,WARREN T ROGERS,IAP,,Sanpete
Mt Pleasant 1 U,State Treasurer,10,WARREN T ROGERS,IAP,,Sanpete
Mt Pleasant 2 U,State Treasurer,7,WARREN T ROGERS,IAP,,Sanpete
Fountain Green U,State Treasurer,5,WARREN T ROGERS,IAP,,Sanpete
Spring City,State Treasurer,30,WARREN T ROGERS,IAP,,Sanpete
Spring City U Wales U,State Treasurer,23,WARREN T ROGERS,IAP,,Sanpete
SSU,State Treasurer,3,WARREN T ROGERS,IAP,,Sanpete
Sterling Town,State Treasurer,8,WARREN T ROGERS,IAP,,Sanpete
Sterling U,State Treasurer,3,WARREN T ROGERS,IAP,,Sanpete
Wales Town,State Treasurer,7,WARREN T ROGERS,IAP,,Sanpete
Axtell SSD,State Treasurer,7,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Centerfield City,State Treasurer,21,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Ephraim City 1 (North),State Treasurer,24,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Ephraim City 2 (South West),State Treasurer,17,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Ephraim City 3 (South East),State Treasurer,11,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Ephraim U,State Treasurer,7,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Fayette Town,State Treasurer,4,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Fairview City,State Treasurer,20,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Fairview U,State Treasurer,29,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Fountain Green City,State Treasurer,17,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Gunnison City,State Treasurer,30,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Manti City 1 (South),State Treasurer,35,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Manti Cify 2 (Mid),State Treasurer,17,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Manti City 3 (North),State Treasurer,4,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Mayfield Town,State Treasurer,5,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Moroni City,State Treasurer,17,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Moroni U,State Treasurer,1,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Mt Pleasant City 2 (East),State Treasurer,24,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Mt Pleasant City 1 (West),State Treasurer,48,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Mt Pleasant 1 U,State Treasurer,15,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Mt Pleasant 2 U,State Treasurer,14,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Fountain Green U,State Treasurer,4,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Spring City,State Treasurer,31,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Spring City U Wales U,State Treasurer,30,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
SSU,State Treasurer,8,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Sterling Town,State Treasurer,4,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Sterling U,State Treasurer,2,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Wales Town,State Treasurer,5,JOSEPH GEDDES BUCHANAN,LIB,,Sanpete
Axtell SSD,State Treasurer,119,TOTAL VOTES CAST,,,Sanpete
Centerfield City,State Treasurer,479,TOTAL VOTES CAST,,,Sanpete
Ephraim City 1 (North),State Treasurer,644,TOTAL VOTES CAST,,,Sanpete
Ephraim City 2 (South West),State Treasurer,411,TOTAL VOTES CAST,,,Sanpete
Ephraim City 3 (South East),State Treasurer,363,TOTAL VOTES CAST,,,Sanpete
Ephraim U,State Treasurer,231,TOTAL VOTES CAST,,,Sanpete
Fayette Town,State Treasurer,99,TOTAL VOTES CAST,,,Sanpete
Fairview City,State Treasurer,497,TOTAL VOTES CAST,,,Sanpete
Fairview U,State Treasurer,610,TOTAL VOTES CAST,,,Sanpete
Fountain Green City,State Treasurer,435,TOTAL VOTES CAST,,,Sanpete
Gunnison City,State Treasurer,602,TOTAL VOTES CAST,,,Sanpete
Manti City 1 (South),State Treasurer,652,TOTAL VOTES CAST,,,Sanpete
Manti Cify 2 (Mid),State Treasurer,407,TOTAL VOTES CAST,,,Sanpete
Manti City 3 (North),State Treasurer,275,TOTAL VOTES CAST,,,Sanpete
Mayfield Town,State Treasurer,248,TOTAL VOTES CAST,,,Sanpete
Moroni City,State Treasurer,464,TOTAL VOTES CAST,,,Sanpete
Moroni U,State Treasurer,132,TOTAL VOTES CAST,,,Sanpete
Mt Pleasant City 2 (East),State Treasurer,386,TOTAL VOTES CAST,,,Sanpete
Mt Pleasant City 1 (West),State Treasurer,743,TOTAL VOTES CAST,,,Sanpete
Mt Pleasant 1 U,State Treasurer,200,TOTAL VOTES CAST,,,Sanpete
Mt Pleasant 2 U,State Treasurer,226,TOTAL VOTES CAST,,,Sanpete
Fountain Green U,State Treasurer,38,TOTAL VOTES CAST,,,Sanpete
Spring City,State Treasurer,487,TOTAL VOTES CAST,,,Sanpete
Spring City U Wales U,State Treasurer,366,TOTAL VOTES CAST,,,Sanpete
SSU,State Treasurer,148,TOTAL VOTES CAST,,,Sanpete
Sterling Town,State Treasurer,122,TOTAL VOTES CAST,,,Sanpete
Sterling U,State Treasurer,84,TOTAL VOTES CAST,,,Sanpete
Wales Town,State Treasurer,134,TOTAL VOTES CAST,,,Sanpete
Axtell SSD,State House,21,RUSS HATCH,CON,66,Sanpete
Centerfield City,State House,62,RUSS HATCH,CON,66,Sanpete
Ephraim City 1 (North),State House,102,RUSS HATCH,CON,66,Sanpete
Ephraim City 2 (South West),State House,72,RUSS HATCH,CON,66,Sanpete
Ephraim City 3 (South East),State House,59,RUSS HATCH,CON,66,Sanpete
Ephraim U,State House,42,RUSS HATCH,CON,66,Sanpete
Fayette Town,State House,11,RUSS HATCH,CON,66,Sanpete
Fairview City,State House,71,RUSS HATCH,CON,66,Sanpete
Fairview U,State House,99,RUSS HATCH,CON,66,Sanpete
Fountain Green City,State House,61,RUSS HATCH,CON,66,Sanpete
Gunnison City,State House,76,RUSS HATCH,CON,66,Sanpete
Manti City 1 (South),State House,154,RUSS HATCH,CON,66,Sanpete
Manti Cify 2 (Mid),State House,76,RUSS HATCH,CON,66,Sanpete
Manti City 3 (North),State House,27,RUSS HATCH,CON,66,Sanpete
Mayfield Town,State House,39,RUSS HATCH,CON,66,Sanpete
Moroni City,State House,48,RUSS HATCH,CON,66,Sanpete
Moroni U,State House,21,RUSS HATCH,CON,66,Sanpete
Mt Pleasant City 2 (East),State House,70,RUSS HATCH,CON,66,Sanpete
Mt Pleasant City 1 (West),State House,134,RUSS HATCH,CON,66,Sanpete
Mt Pleasant 1 U,State House,48,RUSS HATCH,CON,66,Sanpete
Mt Pleasant 2 U,State House,57,RUSS HATCH,CON,66,Sanpete
Fountain Green U,State House,12,RUSS HATCH,CON,66,Sanpete
Spring City,State House,98,RUSS HATCH,CON,66,Sanpete
Spring City U Wales U,State House,93,RUSS HATCH,CON,66,Sanpete
SSU,State House,26,RUSS HATCH,CON,66,Sanpete
Sterling Town,State House,24,RUSS HATCH,CON,66,Sanpete
Sterling U,State House,18,RUSS HATCH,CON,66,Sanpete
Wales Town,State House,16,RUSS HATCH,CON,66,Sanpete
Axtell SSD,State House,98,STEVEN J LUND,REP,66,Sanpete
Centerfield City,State House,417,STEVEN J LUND,REP,66,Sanpete
Ephraim City 1 (North),State House,544,STEVEN J LUND,REP,66,Sanpete
Ephraim City 2 (South West),State House,344,STEVEN J LUND,REP,66,Sanpete
Ephraim City 3 (South East),State House,305,STEVEN J LUND,REP,66,Sanpete
Ephraim U,State House,192,STEVEN J LUND,REP,66,Sanpete
Fayette Town,State House,86,STEVEN J LUND,REP,66,Sanpete
Fairview City,State House,439,STEVEN J LUND,REP,66,Sanpete
Fairview U,State House,510,STEVEN J LUND,REP,66,Sanpete
Fountain Green City,State House,377,STEVEN J LUND,REP,66,Sanpete
Gunnison City,State House,529,STEVEN J LUND,REP,66,Sanpete
Manti City 1 (South),State House,528,STEVEN J LUND,REP,66,Sanpete
Manti Cify 2 (Mid),State House,350,STEVEN J LUND,REP,66,Sanpete
Manti City 3 (North),State House,246,STEVEN J LUND,REP,66,Sanpete
Mayfield Town,State House,217,STEVEN J LUND,REP,66,Sanpete
Moroni City,State House,416,STEVEN J LUND,REP,66,Sanpete
Moroni U,State House,113,STEVEN J LUND,REP,66,Sanpete
Mt Pleasant City 2 (East),State House,318,STEVEN J LUND,REP,66,Sanpete
Mt Pleasant City 1 (West),State House,612,STEVEN J LUND,REP,66,Sanpete
Mt Pleasant 1 U,State House,153,STEVEN J LUND,REP,66,Sanpete
Mt Pleasant 2 U,State House,169,STEVEN J LUND,REP,66,Sanpete
Fountain Green U,State House,25,STEVEN J LUND,REP,66,Sanpete
Spring City,State House,388,STEVEN J LUND,REP,66,Sanpete
Spring City U Wales U,State House,284,STEVEN J LUND,REP,66,Sanpete
SSU,State House,124,STEVEN J LUND,REP,66,Sanpete
Sterling Town,State House,98,STEVEN J LUND,REP,66,Sanpete
Sterling U,State House,68,STEVEN J LUND,REP,66,Sanpete
Wales Town,State House,123,STEVEN J LUND,REP,66,Sanpete
Axtell SSD,State House,191,TOTAL VOTES CAST,,66,Sanpete
Centerfield City,State House,479,TOTAL VOTES CAST,,66,Sanpete
Ephraim City 1 (North),State House,646,TOTAL VOTES CAST,,66,Sanpete
Ephraim City 2 (South West),State House,416,TOTAL VOTES CAST,,66,Sanpete
Ephraim City 3 (South East),State House,364,TOTAL VOTES CAST,,66,Sanpete
Ephraim U,State House,234,TOTAL VOTES CAST,,66,Sanpete
Fayette Town,State House,97,TOTAL VOTES CAST,,66,Sanpete
Fairview City,State House,510,TOTAL VOTES CAST,,66,Sanpete
Fairview U,State House,609,TOTAL VOTES CAST,,66,Sanpete
Fountain Green City,State House,438,TOTAL VOTES CAST,,66,Sanpete
Gunnison City,State House,605,TOTAL VOTES CAST,,66,Sanpete
Manti City 1 (South),State House,682,TOTAL VOTES CAST,,66,Sanpete
Manti Cify 2 (Mid),State House,426,TOTAL VOTES CAST,,66,Sanpete
Manti City 3 (North),State House,273,TOTAL VOTES CAST,,66,Sanpete
Moroni City,State House,44,TOTAL VOTES CAST,,66,Sanpete
Moroni U,State House,134,TOTAL VOTES CAST,,66,Sanpete
Mt Pleasant City 2 (East),State House,388,TOTAL VOTES CAST,,66,Sanpete
Mt Pleasant City 1 (West),State House,746,TOTAL VOTES CAST,,66,Sanpete
Mt Pleasant 1 U,State House,201,TOTAL VOTES CAST,,66,Sanpete
Mt Pleasant 2 U,State House,226,TOTAL VOTES CAST,,66,Sanpete
Fountain Green U,State House,37,TOTAL VOTES CAST,,66,Sanpete
Spring City,State House,486,TOTAL VOTES CAST,,66,Sanpete
Spring City U Wales U,State House,377,TOTAL VOTES CAST,,66,Sanpete
SSU,State House,150,TOTAL VOTES CAST,,66,Sanpete
Sterling Town,State House,122,TOTAL VOTES CAST,,66,Sanpete
Sterling U,State House,86,TOTAL VOTES CAST,,66,Sanpete
Wales Town,State House,139,TOTAL VOTES CAST,,66,Sanpete
Axtell SSD,State School Board,101,EMILY GREEN,REP,14,Sanpete
Centerfield City,State School Board,412,EMILY GREEN,REP,14,Sanpete
Ephraim City 1 (North),State School Board,554,EMILY GREEN,REP,14,Sanpete
Ephraim City 2 (South West),State School Board,368,EMILY GREEN,REP,14,Sanpete
Ephraim City 3 (South East),State School Board,323,EMILY GREEN,REP,14,Sanpete
Ephraim U,State School Board,208,EMILY GREEN,REP,14,Sanpete
Fayette Town,State School Board,85,EMILY GREEN,REP,14,Sanpete
Fairview City,State School Board,450,EMILY GREEN,REP,14,Sanpete
Fairview U,State School Board,528,EMILY GREEN,REP,14,Sanpete
Fountain Green City,State School Board,384,EMILY GREEN,REP,14,Sanpete
Gunnison City,State School Board,516,EMILY GREEN,REP,14,Sanpete
Manti City 1 (South),State School Board,571,EMILY GREEN,REP,14,Sanpete
Manti Cify 2 (Mid),State School Board,360,EMILY GREEN,REP,14,Sanpete
Manti City 3 (North),State School Board,257,EMILY GREEN,REP,14,Sanpete
Mayfield Town,State School Board,213,EMILY GREEN,REP,14,Sanpete
Moroni City,State School Board,414,EMILY GREEN,REP,14,Sanpete
Moroni U,State School Board,113,EMILY GREEN,REP,14,Sanpete
Mt Pleasant City 2 (East),State School Board,327,EMILY GREEN,REP,14,Sanpete
Mt Pleasant City 1 (West),State School Board,619,EMILY GREEN,REP,14,Sanpete
Mt Pleasant 1 U,State School Board,163,EMILY GREEN,REP,14,Sanpete
Mt Pleasant 2 U,State School Board,182,EMILY GREEN,REP,14,Sanpete
Fountain Green U,State School Board,28,EMILY GREEN,REP,14,Sanpete
Spring City,State School Board,409,EMILY GREEN,REP,14,Sanpete
Spring City U Wales U,State School Board,311,EMILY GREEN,REP,14,Sanpete
SSU,State School Board,120,EMILY GREEN,REP,14,Sanpete
Sterling Town,State School Board,107,EMILY GREEN,REP,14,Sanpete
Sterling U,State School Board,69,EMILY GREEN,REP,14,Sanpete
Wales Town,State School Board,116,EMILY GREEN,REP,14,Sanpete
Axtell SSD,State School Board,15,RICHARD JENSEN,LIB,14,Sanpete
Centerfield City,State School Board,54,RICHARD JENSEN,LIB,14,Sanpete
Ephraim City 1 (North),State School Board,79,RICHARD JENSEN,LIB,14,Sanpete
Ephraim City 2 (South West),State School Board,43,RICHARD JENSEN,LIB,14,Sanpete
Ephraim City 3 (South East),State School Board,27,RICHARD JENSEN,LIB,14,Sanpete
Ephraim U,State School Board,22,RICHARD JENSEN,LIB,14,Sanpete
Fayette Town,State School Board,11,RICHARD JENSEN,LIB,14,Sanpete
Fairview City,State School Board,49,RICHARD JENSEN,LIB,14,Sanpete
Fairview U,State School Board,73,RICHARD JENSEN,LIB,14,Sanpete
Fountain Green City,State School Board,49,RICHARD JENSEN,LIB,14,Sanpete
Gunnison City,State School Board,79,RICHARD JENSEN,LIB,14,Sanpete
Manti City 1 (South),State School Board,81,RICHARD JENSEN,LIB,14,Sanpete
Manti Cify 2 (Mid),State School Board,46,RICHARD JENSEN,LIB,14,Sanpete
Manti City 3 (North),State School Board,14,RICHARD JENSEN,LIB,14,Sanpete
Mayfield Town,State School Board,34,RICHARD JENSEN,LIB,14,Sanpete
Moroni City,State School Board,44,RICHARD JENSEN,LIB,14,Sanpete
Moroni U,State School Board,12,RICHARD JENSEN,LIB,14,Sanpete
Mt Pleasant City 2 (East),State School Board,46,RICHARD JENSEN,LIB,14,Sanpete
Mt Pleasant City 1 (West),State School Board,108,RICHARD JENSEN,LIB,14,Sanpete
Mt Pleasant 1 U,State School Board,32,RICHARD JENSEN,LIB,14,Sanpete
Mt Pleasant 2 U,State School Board,42,RICHARD JENSEN,LIB,14,Sanpete
Fountain Green U,State School Board,8,RICHARD JENSEN,LIB,14,Sanpete
Spring City,State School Board,75,RICHARD JENSEN,LIB,14,Sanpete
Spring City U Wales U,State School Board,50,RICHARD JENSEN,LIB,14,Sanpete
SSU,State School Board,24,RICHARD JENSEN,LIB,14,Sanpete
Sterling Town,State School Board,9,RICHARD JENSEN,LIB,14,Sanpete
Sterling U,State School Board,14,RICHARD JENSEN,LIB,14,Sanpete
Wales Town,State School Board,21,RICHARD JENSEN,LIB,14,Sanpete
Axtell SSD,State School Board,116,TOTAL VOTES,,14,Sanpete
Centerfield City,State School Board,466,TOTAL VOTES,,14,Sanpete
Ephraim City 1 (North),State School Board,633,TOTAL VOTES,,14,Sanpete
Ephraim City 2 (South West),State School Board,411,TOTAL VOTES,,14,Sanpete
Ephraim City 3 (South East),State School Board,350,TOTAL VOTES,,14,Sanpete
Ephraim U,State School Board,230,TOTAL VOTES,,14,Sanpete
Fayette Town,State School Board,96,TOTAL VOTES,,14,Sanpete
Fairview City,State School Board,499,TOTAL VOTES,,14,Sanpete
Fairview U,State School Board,601,TOTAL VOTES,,14,Sanpete
Fountain Green City,State School Board,433,TOTAL VOTES,,14,Sanpete
Gunnison City,State School Board,595,TOTAL VOTES,,14,Sanpete
Manti City 1 (South),State School Board,652,TOTAL VOTES,,14,Sanpete
Manti Cify 2 (Mid),State School Board,406,TOTAL VOTES,,14,Sanpete
Manti City 3 (North),State School Board,271,TOTAL VOTES,,14,Sanpete
Mayfield Town,State School Board,247,TOTAL VOTES,,14,Sanpete
Moroni City,State School Board,458,TOTAL VOTES,,14,Sanpete
Moroni U,State School Board,125,TOTAL VOTES,,14,Sanpete
Mt Pleasant City 2 (East),State School Board,373,TOTAL VOTES,,14,Sanpete
Mt Pleasant City 1 (West),State School Board,727,TOTAL VOTES,,14,Sanpete
Mt Pleasant 1 U,State School Board,195,TOTAL VOTES,,14,Sanpete
Mt Pleasant 2 U,State School Board,224,TOTAL VOTES,,14,Sanpete
Fountain Green U,State School Board,36,TOTAL VOTES,,14,Sanpete
Spring City,State School Board,484,TOTAL VOTES,,14,Sanpete
Spring City U Wales U,State School Board,361,TOTAL VOTES,,14,Sanpete
SSU,State School Board,144,TOTAL VOTES,,14,Sanpete
Sterling Town,State School Board,116,TOTAL VOTES,,14,Sanpete
Sterling U,State School Board,83,TOTAL VOTES,,14,Sanpete
Wales Town,State School Board,137,TOTAL VOTES,,14,Sanpete
Axtell SSD,U.S. Senate,17,EVAN MCMULLIN,,,Sanpete
Centerfield City,U.S. Senate,55,EVAN MCMULLIN,,,Sanpete
Ephraim City 1 (North),U.S. Senate,162,EVAN MCMULLIN,,,Sanpete
Ephraim City 2(South West),U.S. Senate,106,EVAN MCMULLIN,,,Sanpete
Ephraim City 3 (South East),U.S. Senate,106,EVAN MCMULLIN,,,Sanpete
Ephraim U,U.S. Senate,27,EVAN MCMULLIN,,,Sanpete
Fayette Town,U.S. Senate,11,EVAN MCMULLIN,,,Sanpete
Fairview City,U.S. Senate,110,EVAN MCMULLIN,,,Sanpete
Fairview U,U.S. Senate,128,EVAN MCMULLIN,,,Sanpete
Fountain Green City,U.S. Senate,82,EVAN MCMULLIN,,,Sanpete
Gunnison City,U.S. Senate,104,EVAN MCMULLIN,,,Sanpete
Manti City 1 (South),U.S. Senate,116,EVAN MCMULLIN,,,Sanpete
Manti City 2 (Mid),U.S. Senate,77,EVAN MCMULLIN,,,Sanpete
Manti City 3 (North),U.S. Senate,35,EVAN MCMULLIN,,,Sanpete
Mayfield Town,U.S. Senate,64,EVAN MCMULLIN,,,Sanpete
Moroni City,U.S. Senate,86,EVAN MCMULLIN,,,Sanpete
Moroni U,U.S. Senate,22,EVAN MCMULLIN,,,Sanpete
Mt Pleasant City 2 (East),U.S. Senate,90,EVAN MCMULLIN,,,Sanpete
Mt Pleasant City 1 (West),U.S. Senate,161,EVAN MCMULLIN,,,Sanpete
