precinct,office,votes,candidate,party,district,county
Mt Pleasant 1 U,U.S. Senate,29,EVAN MCMULLIN,,,Sanpete
Mt Pleasant 2 U,U.S. Senate,35,EVAN MCMULLIN,,,Sanpete
Fountain Green U,U.S. Senate,9,EVAN MCMULLIN,,,Sanpete
Spring City,U.S. Senate,148,EVAN MCMULLIN,,,Sanpete
Spring City U Wales U,U.S. Senate,64,EVAN MCMULLIN,,,Sanpete
SSU,U.S. Senate,18,EVAN MCMULLIN,,,Sanpete
Sterling Town,U.S. Senate,11,EVAN MCMULLIN,,,Sanpete
Sterling U,U.S. Senate,14,EVAN MCMULLIN,,,Sanpete
Wales Town,U.S. Senate,25,EVAN MCMULLIN,,,Sanpete
Axtell SSD,U.S. Senate,2,JAMES ARTHUR HANSEN,LIB,,Sanpete
Centerfield City,U.S. Senate,5,JAMES ARTHUR HANSEN,LIB,,Sanpete
Ephraim City 1 (North),U.S. Senate,6,JAMES ARTHUR HANSEN,LIB,,Sanpete
Ephraim City 2(South West),U.S. Senate,9,JAMES ARTHUR HANSEN,LIB,,Sanpete
Ephraim City 3 (South East),U.S. Senate,5,JAMES ARTHUR HANSEN,LIB,,Sanpete
Ephraim U,U.S. Senate,1,JAMES ARTHUR HANSEN,LIB,,Sanpete
Fayette Town,U.S. Senate,2,JAMES ARTHUR HANSEN,LIB,,Sanpete
Fairview City,U.S. Senate,12,JAMES ARTHUR HANSEN,LIB,,Sanpete
Fairview U,U.S. Senate,11,JAMES ARTHUR HANSEN,LIB,,Sanpete
Fountain Green City,U.S. Senate,12,JAMES ARTHUR HANSEN,LIB,,Sanpete
Gunnison City,U.S. Senate,6,JAMES ARTHUR HANSEN,LIB,,Sanpete
Manti City 1 (South),U.S. Senate,8,JAMES ARTHUR HANSEN,LIB,,Sanpete
Manti City 2 (Mid),U.S. Senate,3,JAMES ARTHUR HANSEN,LIB,,Sanpete
Manti City 3 (North),U.S. Senate,1,JAMES ARTHUR HANSEN,LIB,,Sanpete
Mayfield Town,U.S. Senate,3,JAMES ARTHUR HANSEN,LIB,,Sanpete
Moroni City,U.S. Senate,11,JAMES ARTHUR HANSEN,LIB,,Sanpete
Moroni U,U.S. Senate,2,JAMES ARTHUR HANSEN,LIB,,Sanpete
Mt Pleasant City 2 (East),U.S. Senate,5,JAMES ARTHUR HANSEN,LIB,,Sanpete
Mt Pleasant City 1 (West),U.S. Senate,19,JAMES ARTHUR HANSEN,LIB,,Sanpete
Mt Pleasant 1 U,U.S. Senate,1,JAMES ARTHUR HANSEN,LIB,,Sanpete
Mt Pleasant 2 U,U.S. Senate,9,JAMES ARTHUR HANSEN,LIB,,Sanpete
Fountain Green U,U.S. Senate,1,JAMES ARTHUR HANSEN,LIB,,Sanpete
Spring City,U.S. Senate,5,JAMES ARTHUR HANSEN,LIB,,Sanpete
Spring City U Wales U,U.S. Senate,7,JAMES ARTHUR HANSEN,LIB,,Sanpete
Sterling Town,U.S. Senate,1,JAMES ARTHUR HANSEN,LIB,,Sanpete
Sterling U,U.S. Senate,1,JAMES ARTHUR HANSEN,LIB,,Sanpete
Wales Town,U.S. Senate,2,JAMES ARTHUR HANSEN,LIB,,Sanpete
Axtell SSD,U.S. Senate,99,MIKE LEE,REP,,Sanpete
Centerfield City,U.S. Senate,416,MIKE LEE,REP,,Sanpete
Ephraim City 1 (North),U.S. Senate,492,MIKE LEE,REP,,Sanpete
Ephraim City 2(South West),U.S. Senate,313,MIKE LEE,REP,,Sanpete
Ephraim City 3 (South East),U.S. Senate,267,MIKE LEE,REP,,Sanpete
Ephraim U,U.S. Senate,219,MIKE LEE,REP,,Sanpete
Fayette Town,U.S. Senate,89,MIKE LEE,REP,,Sanpete
Fairview City,U.S. Senate,388,MIKE LEE,REP,,Sanpete
Fairview U,U.S. Senate,491,MIKE LEE,REP,,Sanpete
Fountain Green City,U.S. Senate,346,MIKE LEE,REP,,Sanpete
Gunnison City,U.S. Senate,502,MIKE LEE,REP,,Sanpete
Manti City 1 (South),U.S. Senate,562,MIKE LEE,REP,,Sanpete
Manti City 2 (Mid),U.S. Senate,345,MIKE LEE,REP,,Sanpete
Manti City 3 (North),U.S. Senate,244,MIKE LEE,REP,,Sanpete
Mayfield Town,U.S. Senate,191,MIKE LEE,REP,,Sanpete
Moroni City,U.S. Senate,369,MIKE LEE,REP,,Sanpete
Moroni U,U.S. Senate,116,MIKE LEE,REP,,Sanpete
Mt Pleasant City 2 (East),U.S. Senate,297,MIKE LEE,REP,,Sanpete
Mt Pleasant City 1 (West),U.S. Senate,603,MIKE LEE,REP,,Sanpete
Mt Pleasant 1 U,U.S. Senate,171,MIKE LEE,REP,,Sanpete
Mt Pleasant 2 U,U.S. Senate,192,MIKE LEE,REP,,Sanpete
Fountain Green U,U.S. Senate,26,MIKE LEE,REP,,Sanpete
Spring City,U.S. Senate,354,MIKE LEE,REP,,Sanpete
Spring City U Wales U,U.S. Senate,312,MIKE LEE,REP,,Sanpete
SSU,U.S. Senate,132,MIKE LEE,REP,,Sanpete
Sterling Town,U.S. Senate,109,MIKE LEE,REP,,Sanpete
Sterling U,U.S. Senate,73,MIKE LEE,REP,,Sanpete
Wales Town,U.S. Senate,111,MIKE LEE,REP,,Sanpete
Axtell SSD,U.S. Senate,3,TOMMY WILLIAMS,IAP,,Sanpete
Centerfield City,U.S. Senate,7,TOMMY WILLIAMS,IAP,,Sanpete
Ephraim City 1 (North),U.S. Senate,4,TOMMY WILLIAMS,IAP,,Sanpete
Ephraim City 2(South West),U.S. Senate,3,TOMMY WILLIAMS,IAP,,Sanpete
Ephraim City 3 (South East),U.S. Senate,3,TOMMY WILLIAMS,IAP,,Sanpete
Ephraim U,U.S. Senate,1,TOMMY WILLIAMS,IAP,,Sanpete
Fairview City,U.S. Senate,9,TOMMY WILLIAMS,IAP,,Sanpete
Fairview U,U.S. Senate,5,TOMMY WILLIAMS,IAP,,Sanpete
Fountain Green City,U.S. Senate,13,TOMMY WILLIAMS,IAP,,Sanpete
Gunnison City,U.S. Senate,5,TOMMY WILLIAMS,IAP,,Sanpete
Manti City 1 (South),U.S. Senate,6,TOMMY WILLIAMS,IAP,,Sanpete
Manti City 2 (Mid),U.S. Senate,3,TOMMY WILLIAMS,IAP,,Sanpete
Manti City 3 (North),U.S. Senate,1,TOMMY WILLIAMS,IAP,,Sanpete
Mayfield Town,U.S. Senate,3,TOMMY WILLIAMS,IAP,,Sanpete
Moroni City,U.S. Senate,7,TOMMY WILLIAMS,IAP,,Sanpete
Moroni U,U.S. Senate,1,TOMMY WILLIAMS,IAP,,Sanpete
Mt Pleasant City 2 (East),U.S. Senate,8,TOMMY WILLIAMS,IAP,,Sanpete
Mt Pleasant City 1 (West),U.S. Senate,9,TOMMY WILLIAMS,IAP,,Sanpete
Mt Pleasant 1 U,U.S. Senate,4,TOMMY WILLIAMS,IAP,,Sanpete
Mt Pleasant 2 U,U.S. Senate,1,TOMMY WILLIAMS,IAP,,Sanpete
Spring City,U.S. Senate,7,TOMMY WILLIAMS,IAP,,Sanpete
Spring City U Wales U,U.S. Senate,5,TOMMY WILLIAMS,IAP,,Sanpete
SSU,U.S. Senate,1,TOMMY WILLIAMS,IAP,,Sanpete
Sterling Town,U.S. Senate,1,TOMMY WILLIAMS,IAP,,Sanpete
Wales Town,U.S. Senate,3,TOMMY WILLIAMS,IAP,,Sanpete
Ephraim City 1 (North),U.S. Senate,2,WRITEIN,,,Sanpete
Ephraim City 2(South West),U.S. Senate,2,WRITEIN,,,Sanpete
Fairview U,U.S. Senate,3,WRITEIN,,,Sanpete
Gunnison City,U.S. Senate,1,WRITEIN,,,Sanpete
Manti City 1 (South),U.S. Senate,1,WRITEIN,,,Sanpete
Mt Pleasant City 2 (East),U.S. Senate,1,WRITEIN,,,Sanpete
Mt Pleasant City 1 (West),U.S. Senate,1,WRITEIN,,,Sanpete
Mt Pleasant 1 U,U.S. Senate,4,WRITEIN,,,Sanpete
Spring City,U.S. Senate,1,WRITEIN,,,Sanpete
Wales Town,U.S. Senate,1,WRITEIN,,,Sanpete
Axtell SSD,U.S. Senate,121,TOTAL VOTES,,,Sanpete
Centerfield City,U.S. Senate,483,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),U.S. Senate,666,TOTAL VOTES,,,Sanpete
Ephraim City 2(South West),U.S. Senate,433,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),U.S. Senate,381,TOTAL VOTES,,,Sanpete
Ephraim U,U.S. Senate,248,TOTAL VOTES,,,Sanpete
Fayette Town,U.S. Senate,102,TOTAL VOTES,,,Sanpete
Fairview City,U.S. Senate,519,TOTAL VOTES,,,Sanpete
Fairview U,U.S. Senate,638,TOTAL VOTES,,,Sanpete
Fountain Green City,U.S. Senate,453,TOTAL VOTES,,,Sanpete
Gunnison City,U.S. Senate,618,TOTAL VOTES,,,Sanpete
Manti City 1 (South),U.S. Senate,693,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),U.S. Senate,428,TOTAL VOTES,,,Sanpete
Manti City 3 (North),U.S. Senate,281,TOTAL VOTES,,,Sanpete
Mayfield Town,U.S. Senate,261,TOTAL VOTES,,,Sanpete
Moroni City,U.S. Senate,473,TOTAL VOTES,,,Sanpete
Moroni U,U.S. Senate,141,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),U.S. Senate,401,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West),U.S. Senate,793,TOTAL VOTES,,,Sanpete
Mt Pleasant 1 U,U.S. Senate,209,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,U.S. Senate,237,TOTAL VOTES,,,Sanpete
Fountain Green U,U.S. Senate,36,TOTAL VOTES,,,Sanpete
Spring City,U.S. Senate,515,TOTAL VOTES,,,Sanpete
Spring City U Wales U,U.S. Senate,388,TOTAL VOTES,,,Sanpete
SSU,U.S. Senate,151,TOTAL VOTES,,,Sanpete
Sterling Town,U.S. Senate,122,TOTAL VOTES,,,Sanpete
Sterling U,U.S. Senate,88,TOTAL VOTES,,,Sanpete
Wales Town,U.S. Senate,142,TOTAL VOTES,,,Sanpete
Axtell SSD,U.S. House,11,DARLENE MCDONALD,DEM,4,Sanpete
Centerfield City,U.S. House,39,DARLENE MCDONALD,DEM,4,Sanpete
Ephraim City 1 (North),U.S. House,100,DARLENE MCDONALD,DEM,4,Sanpete
Ephraim City 2(South West),U.S. House,64,DARLENE MCDONALD,DEM,4,Sanpete
Ephraim City 3 (South East),U.S. House,44,DARLENE MCDONALD,DEM,4,Sanpete
Ephraim U,U.S. House,23,DARLENE MCDONALD,DEM,4,Sanpete
Fayette Town,U.S. House,5,DARLENE MCDONALD,DEM,4,Sanpete
Fairview City,U.S. House,61,DARLENE MCDONALD,DEM,4,Sanpete
Fairview U,U.S. House,95,DARLENE MCDONALD,DEM,4,Sanpete
Fountain Green City,U.S. House,54,DARLENE MCDONALD,DEM,4,Sanpete
Gunnison City,U.S. House,62,DARLENE MCDONALD,DEM,4,Sanpete
Manti City 1 (South),U.S. House,65,DARLENE MCDONALD,DEM,4,Sanpete
Manti City 2 (Mid),U.S. House,46,DARLENE MCDONALD,DEM,4,Sanpete
Manti City 3 (North),U.S. House,12,DARLENE MCDONALD,DEM,4,Sanpete
Mayfield Town,U.S. House,43,DARLENE MCDONALD,DEM,4,Sanpete
Moroni City,U.S. House,60,DARLENE MCDONALD,DEM,4,Sanpete
Moroni U,U.S. House,15,DARLENE MCDONALD,DEM,4,Sanpete
Mt Pleasant City 2 (East),U.S. House,86,DARLENE MCDONALD,DEM,4,Sanpete
Mt Pleasant City 1 (West),U.S. House,142,DARLENE MCDONALD,DEM,4,Sanpete
Mt Pleasant 1 U,U.S. House,27,DARLENE MCDONALD,DEM,4,Sanpete
Mt Pleasant 2 U,U.S. House,28,DARLENE MCDONALD,DEM,4,Sanpete
Fountain Green U,U.S. House,4,DARLENE MCDONALD,DEM,4,Sanpete
Spring City,U.S. House,131,DARLENE MCDONALD,DEM,4,Sanpete
Spring City U Wales U,U.S. House,53,DARLENE MCDONALD,DEM,4,Sanpete
SSU,U.S. House,14,DARLENE MCDONALD,DEM,4,Sanpete
Sterling Town,U.S. House,14,DARLENE MCDONALD,DEM,4,Sanpete
Sterling U,U.S. House,13,DARLENE MCDONALD,DEM,4,Sanpete
Wales Town,U.S. House,25,DARLENE MCDONALD,DEM,4,Sanpete
Axtell SSD,U.S. House,106,BURGESS OWENS,REP,4,Sanpete
Centerfield City,U.S. House,420,BURGESS OWENS,REP,4,Sanpete
Ephraim City 1 (North),U.S. House,511,BURGESS OWENS,REP,4,Sanpete
Ephraim City 2(South West),U.S. House,337,BURGESS OWENS,REP,4,Sanpete
Ephraim City 3 (South East),U.S. House,317,BURGESS OWENS,REP,4,Sanpete
Ephraim U,U.S. House,216,BURGESS OWENS,REP,4,Sanpete
Fayette Town,U.S. House,94,BURGESS OWENS,REP,4,Sanpete
Fairview City,U.S. House,415,BURGESS OWENS,REP,4,Sanpete
Fairview U,U.S. House,507,BURGESS OWENS,REP,4,Sanpete
Fountain Green City,U.S. House,370,BURGESS OWENS,REP,4,Sanpete
Gunnison City,U.S. House,539,BURGESS OWENS,REP,4,Sanpete
Manti City 1 (South),U.S. House,581,BURGESS OWENS,REP,4,Sanpete
Manti City 2 (Mid),U.S. House,363,BURGESS OWENS,REP,4,Sanpete
Manti City 3 (North),U.S. House,257,BURGESS OWENS,REP,4,Sanpete
Mayfield Town,U.S. House,198,BURGESS OWENS,REP,4,Sanpete
Moroni City,U.S. House,382,BURGESS OWENS,REP,4,Sanpete
Moroni U,U.S. House,112,BURGESS OWENS,REP,4,Sanpete
Mt Pleasant City 2 (East),U.S. House,304,BURGESS OWENS,REP,4,Sanpete
Mt Pleasant City 1 (West),U.S. House,604,BURGESS OWENS,REP,4,Sanpete
Mt Pleasant 1 U,U.S. House,162,BURGESS OWENS,REP,4,Sanpete
Mt Pleasant 2 U,U.S. House,195,BURGESS OWENS,REP,4,Sanpete
Fountain Green U,U.S. House,31,BURGESS OWENS,REP,4,Sanpete
Spring City,U.S. House,365,BURGESS OWENS,REP,4,Sanpete
Spring City U Wales U,U.S. House,316,BURGESS OWENS,REP,4,Sanpete
SSU,U.S. House,135,BURGESS OWENS,REP,4,Sanpete
Sterling Town,U.S. House,107,BURGESS OWENS,REP,4,Sanpete
Sterling U,U.S. House,74,BURGESS OWENS,REP,4,Sanpete
Wales Town,U.S. House,111,BURGESS OWENS,REP,4,Sanpete
Axtell SSD,U.S. House,4,JANUARY WALKER,UUP,4,Sanpete
Centerfield City,U.S. House,19,JANUARY WALKER,UUP,4,Sanpete
Ephraim City 1 (North),U.S. House,47,JANUARY WALKER,UUP,4,Sanpete
Ephraim City 2(South West),U.S. House,32,JANUARY WALKER,UUP,4,Sanpete
Ephraim City 3 (South East),U.S. House,18,JANUARY WALKER,UUP,4,Sanpete
Ephraim U,U.S. House,6,JANUARY WALKER,UUP,4,Sanpete
Fayette Town,U.S. House,3,JANUARY WALKER,UUP,4,Sanpete
Fairview City,U.S. House,44,JANUARY WALKER,UUP,4,Sanpete
Fairview U,U.S. House,39,JANUARY WALKER,UUP,4,Sanpete
Fountain Green City,U.S. House,30,JANUARY WALKER,UUP,4,Sanpete
Gunnison City,U.S. House,16,JANUARY WALKER,UUP,4,Sanpete
Manti City 1 (South),U.S. House,34,JANUARY WALKER,UUP,4,Sanpete
Manti City 2 (Mid),U.S. House,19,JANUARY WALKER,UUP,4,Sanpete
Manti City 3 (North),U.S. House,10,JANUARY WALKER,UUP,4,Sanpete
Mayfield Town,U.S. House,16,JANUARY WALKER,UUP,4,Sanpete
Moroni City,U.S. House,24,JANUARY WALKER,UUP,4,Sanpete
Moroni U,U.S. House,9,JANUARY WALKER,UUP,4,Sanpete
Mt Pleasant City 2 (East),U.S. House,10,JANUARY WALKER,UUP,4,Sanpete
Mt Pleasant City 1 (West),U.S. House,37,JANUARY WALKER,UUP,4,Sanpete
Mt Pleasant 1 U,U.S. House,16,JANUARY WALKER,UUP,4,Sanpete
Mt Pleasant 2 U,U.S. House,13,JANUARY WALKER,UUP,4,Sanpete
Fountain Green U,U.S. House,3,JANUARY WALKER,UUP,4,Sanpete
Spring City,U.S. House,16,JANUARY WALKER,UUP,4,Sanpete
Spring City U Wales U,U.S. House,17,JANUARY WALKER,UUP,4,Sanpete
SSU,U.S. House,3,JANUARY WALKER,UUP,4,Sanpete
Sterling Town,U.S. House,1,JANUARY WALKER,UUP,4,Sanpete
Sterling U,U.S. House,2,JANUARY WALKER,UUP,4,Sanpete
Wales Town,U.S. House,7,JANUARY WALKER,UUP,4,Sanpete
Ephraim City 1 (North),U.S. House,2,WRITEIN,,4,Sanpete
Fairview City,U.S. House,2,WRITEIN,,4,Sanpete
Fairview U,U.S. House,1,WRITEIN,,4,Sanpete
Fountain Green City,U.S. House,1,WRITEIN,,4,Sanpete
Manti City 1 (South),U.S. House,1,WRITEIN,,4,Sanpete
Mayfield Town,U.S. House,1,WRITEIN,,4,Sanpete
Moroni U,U.S. House,1,WRITEIN,,4,Sanpete
Mt Pleasant City 1 (West),U.S. House,1,WRITEIN,,4,Sanpete
Mt Pleasant 1 U,U.S. House,2,WRITEIN,,4,Sanpete
Spring City,U.S. House,1,WRITEIN,,4,Sanpete
Wales Town,U.S. House,1,WRITEIN,,4,Sanpete
Axtell SSD,U.S. House,121,TOTAL VOTES,,4,Sanpete
Centerfield City,U.S. House,478,TOTAL VOTES,,4,Sanpete
Ephraim City 1 (North),U.S. House,660,TOTAL VOTES,,4,Sanpete
Ephraim City 2(South West),U.S. House,433,TOTAL VOTES,,4,Sanpete
Ephraim City 3 (South East),U.S. House,379,TOTAL VOTES,,4,Sanpete
Ephraim U,U.S. House,245,TOTAL VOTES,,4,Sanpete
Fayette Town,U.S. House,102,TOTAL VOTES,,4,Sanpete
Fairview City,U.S. House,522,TOTAL VOTES,,4,Sanpete
Fairview U,U.S. House,642,TOTAL VOTES,,4,Sanpete
Fountain Green City,U.S. House,455,TOTAL VOTES,,4,Sanpete
Gunnison City,U.S. House,617,TOTAL VOTES,,4,Sanpete
Manti City 1 (South),U.S. House,681,TOTAL VOTES,,4,Sanpete
Manti City 2 (Mid),U.S. House,428,TOTAL VOTES,,4,Sanpete
Manti City 3 (North),U.S. House,279,TOTAL VOTES,,4,Sanpete
Mayfield Town,U.S. House,258,TOTAL VOTES,,4,Sanpete
Moroni City,U.S. House,466,TOTAL VOTES,,4,Sanpete
Moroni U,U.S. House,137,TOTAL VOTES,,4,Sanpete
Mt Pleasant City 2 (East),U.S. House,400,TOTAL VOTES,,4,Sanpete
Mt Pleasant City 1 (West),U.S. House,784,TOTAL VOTES,,4,Sanpete
Mt Pleasant 1 U,U.S. House,207,TOTAL VOTES,,4,Sanpete
Mt Pleasant 2 U,U.S. House,236,TOTAL VOTES,,4,Sanpete
Fountain Green U,U.S. House,38,TOTAL VOTES,,4,Sanpete
Spring City,U.S. House,513,TOTAL VOTES,,4,Sanpete
Spring City U Wales U,U.S. House,386,TOTAL VOTES,,4,Sanpete
SSU,U.S. House,152,TOTAL VOTES,,4,Sanpete
Sterling Town,U.S. House,122,TOTAL VOTES,,4,Sanpete
Sterling U,U.S. House,89,TOTAL VOTES,,4,Sanpete
Wales Town,U.S. House,144,TOTAL VOTES,,4,Sanpete
Axtell SSD,County Commissioner Seat A,110,SCOTT BARTHOLOMEW,REP,,Sanpete
Centerfield City,County Commissioner Seat A,462,SCOTT BARTHOLOMEW,REP,,Sanpete
Ephraim City 1 (North),County Commissioner Seat A,596,SCOTT BARTHOLOMEW,REP,,Sanpete
Ephraim City 2 (South West),County Commissioner Seat A,378,SCOTT BARTHOLOMEW,REP,,Sanpete
Ephraim City 3 (South East),County Commissioner Seat A,320,SCOTT BARTHOLOMEW,REP,,Sanpete
Ephraim U,County Commissioner Seat A,209,SCOTT BARTHOLOMEW,REP,,Sanpete
Fayette Town,County Commissioner Seat A,89,SCOTT BARTHOLOMEW,REP,,Sanpete
Fairview City,County Commissioner Seat A,457,SCOTT BARTHOLOMEW,REP,,Sanpete
Fairview U,County Commissioner Seat A,532,SCOTT BARTHOLOMEW,REP,,Sanpete
Fountain Green City,County Commissioner Seat A,395,SCOTT BARTHOLOMEW,REP,,Sanpete
Gunnison City,County Commissioner Seat A,550,SCOTT BARTHOLOMEW,REP,,Sanpete
Manti City 1 (South),County Commissioner Seat A,609,SCOTT BARTHOLOMEW,REP,,Sanpete
Manti City 2 (Mid),County Commissioner Seat A,379,SCOTT BARTHOLOMEW,REP,,Sanpete
Manti City 3 (North),County Commissioner Seat A,264,SCOTT BARTHOLOMEW,REP,,Sanpete
Mayfield Town,County Commissioner Seat A,236,SCOTT BARTHOLOMEW,REP,,Sanpete
Moroni City,County Commissioner Seat A,433,SCOTT BARTHOLOMEW,REP,,Sanpete
Moroni U,County Commissioner Seat A,116,SCOTT BARTHOLOMEW,REP,,Sanpete
Mt Pleasant City 2 (East),County Commissioner Seat A,332,SCOTT BARTHOLOMEW,REP,,Sanpete
Mt Pleasant City 1 (West).,County Commissioner Seat A,645,SCOTT BARTHOLOMEW,REP,,Sanpete
Mt. Pleasant 1 U,County Commissioner Seat A,170,SCOTT BARTHOLOMEW,REP,,Sanpete
Mt Pleasant 2 U,County Commissioner Seat A,200,SCOTT BARTHOLOMEW,REP,,Sanpete
Fountain Green U,County Commissioner Seat A,33,SCOTT BARTHOLOMEW,REP,,Sanpete
Spring City,County Commissioner Seat A,420,SCOTT BARTHOLOMEW,REP,,Sanpete
Spring City U Wales U,County Commissioner Seat A,323,SCOTT BARTHOLOMEW,REP,,Sanpete
SSU .  .,County Commissioner Seat A,138,SCOTT BARTHOLOMEW,REP,,Sanpete
Sterling Town .,County Commissioner Seat A,102,SCOTT BARTHOLOMEW,REP,,Sanpete
Sterling U,County Commissioner Seat A,77,SCOTT BARTHOLOMEW,REP,,Sanpete
Wales Town,County Commissioner Seat A,129,SCOTT BARTHOLOMEW,REP,,Sanpete
Axtell SSD,County Commissioner Seat A,110,TOTAL VOTES,,,Sanpete
Centerfield City,County Commissioner Seat A,462,TOTAL VOTES,,,Sanpete
Ephraim City 1 (North),County Commissioner Seat A,596,TOTAL VOTES,,,Sanpete
Ephraim City 2 (South West),County Commissioner Seat A,378,TOTAL VOTES,,,Sanpete
Ephraim City 3 (South East),County Commissioner Seat A,320,TOTAL VOTES,,,Sanpete
Ephraim U,County Commissioner Seat A,209,TOTAL VOTES,,,Sanpete
Fayette Town,County Commissioner Seat A,89,TOTAL VOTES,,,Sanpete
Fairview City,County Commissioner Seat A,457,TOTAL VOTES,,,Sanpete
Fairview U,County Commissioner Seat A,532,TOTAL VOTES,,,Sanpete
Fountain Green City,County Commissioner Seat A,395,TOTAL VOTES,,,Sanpete
Gunnison City,County Commissioner Seat A,550,TOTAL VOTES,,,Sanpete
Manti City 1 (South),County Commissioner Seat A,609,TOTAL VOTES,,,Sanpete
Manti City 2 (Mid),County Commissioner Seat A,379,TOTAL VOTES,,,Sanpete
Manti City 3 (North),County Commissioner Seat A,264,TOTAL VOTES,,,Sanpete
Mayfield Town,County Commissioner Seat A,236,TOTAL VOTES,,,Sanpete
Moroni City,County Commissioner Seat A,433,TOTAL VOTES,,,Sanpete
Moroni U,County Commissioner Seat A,116,TOTAL VOTES,,,Sanpete
Mt Pleasant City 2 (East),County Commissioner Seat A,332,TOTAL VOTES,,,Sanpete
Mt Pleasant City 1 (West).,County Commissioner Seat A,645,TOTAL VOTES,,,Sanpete
Mt. Pleasant 1 U,County Commissioner Seat A,170,TOTAL VOTES,,,Sanpete
Mt Pleasant 2 U,County Commissioner Seat A,200,TOTAL VOTES,,,Sanpete
Fountain Green U,County Commissioner Seat A,33,TOTAL VOTES,,,Sanpete
Spring City,County Commissioner Seat A,420,TOTAL VOTES,,,Sanpete
Spring City U Wales U,County Commissioner Seat A,323,TOTAL VOTES,,,Sanpete
Sterling Town .,County Commissioner Seat A,102,TOTAL VOTES,,,Sanpete
Sterling U,County Commissioner Seat A,77,TOTAL VOTES,,,Sanpete
Wales Town,County Commissioner Seat A,129,TOTAL VOTES,,,Sanpete
Axtell SSD,County Commissioner Seat B,21,LEON R DAY,UUP,,Sanpete
Centerfield City,County Commissioner Seat B,53,LEON R DAY,UUP,,Sanpete
Ephraim City 1 (North),County Commissioner Seat B,147,LEON R DAY,UUP,,Sanpete
Ephraim City 2 (South West),County Commissioner Seat B,96,LEON R DAY,UUP,,Sanpete
Ephraim City 3 (South East),County Commissioner Seat B,87,LEON R DAY,UUP,,Sanpete
Ephraim U,County Commissioner Seat B,30,LEON R DAY,UUP,,Sanpete
Fayette Town,County Commissioner Seat B,6,LEON R DAY,UUP,,Sanpete
Fairview City,County Commissioner Seat B,141,LEON R DAY,UUP,,Sanpete
Fairview U,County Commissioner Seat B,146,LEON R DAY,UUP,,Sanpete
Fountain Green City,County Commissioner Seat B,102,LEON R DAY,UUP,,Sanpete
Gunnison City,County Commissioner Seat B,82,LEON R DAY,UUP,,Sanpete
Manti City 1 (South),County Commissioner Seat B,108,LEON R DAY,UUP,,Sanpete
Manti City 2 (Mid),County Commissioner Seat B,53,LEON R DAY,UUP,,Sanpete
Manti City 3 (North),County Commissioner Seat B,25,LEON R DAY,UUP,,Sanpete
Mayfield Town,County Commissioner Seat B,46,LEON R DAY,UUP,,Sanpete
Moroni City,County Commissioner Seat B,54,LEON R DAY,UUP,,Sanpete
Moroni U,County Commissioner Seat B,25,LEON R DAY,UUP,,Sanpete
Mt Pleasant City 2 (East),County Commissioner Seat B,86,LEON R DAY,UUP,,Sanpete
Mt Pleasant City 1 (West).,County Commissioner Seat B,182,LEON R DAY,UUP,,Sanpete
Mt. Pleasant 1 U,County Commissioner Seat B,50,LEON R DAY,UUP,,Sanpete
Mt Pleasant 2 U,County Commissioner Seat B,55,LEON R DAY,UUP,,Sanpete
Fountain Green U,County Commissioner Seat B,18,LEON R DAY,UUP,,Sanpete
Spring City,County Commissioner Seat B,136,LEON R DAY,UUP,,Sanpete
Spring City U Wales U,County Commissioner Seat B,97,LEON R DAY,UUP,,Sanpete
SSU .  .,County Commissioner Seat B,26,LEON R DAY,UUP,,Sanpete
Sterling Town .,County Commissioner Seat B,16,LEON R DAY,UUP,,Sanpete
Sterling U,County Commissioner Seat B,20,LEON R DAY,UUP,,Sanpete
Wales Town,County Commissioner Seat B,21,LEON R DAY,UUP,,Sanpete
Axtell SSD,County Commissioner Seat B,98,SCOTT R COLLARD,REP,,Sanpete
Centerfield City,County Commissioner Seat B,420,SCOTT R COLLARD,REP,,Sanpete
Ephraim City 1 (North),County Commissioner Seat B,485,SCOTT R COLLARD,REP,,Sanpete
Ephraim City 2 (South West),County Commissioner Seat B,318,SCOTT R COLLARD,REP,,Sanpete
Ephraim City 3 (South East),County Commissioner Seat B,283,SCOTT R COLLARD,REP,,Sanpete
